item_code,item,unit,item_group,item_category
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM
118,TELUR AYAM GRED A,10 biji,BARANGAN SEGAR,TELUR
119,TELUR AYAM GRED B,10 biji,BARANGAN SEGAR,TELUR
120,TELUR AYAM GRED C,10 biji,BARANGAN SEGAR,TELUR
124,TELUR PUYUH,15 Biji,BARANGAN SEGAR,TELUR
125,TELUR ITIK,10 biji,BARANGAN SEGAR,TELUR
1109,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR
1110,TELUR AYAM GRED B,30 biji,BARANGAN SEGAR,TELUR
1111,TELUR AYAM GRED C,30 biji,BARANGAN SEGAR,TELUR
1364,AYAM TUA HIDUP,1kg,BARANGAN SEGAR,AYAM
1550,PAHA AYAM,1kg,BARANGAN SEGAR,AYAM
1551,DADA AYAM,1kg,BARANGAN SEGAR,AYAM
1552,THIGH AYAM,1kg,BARANGAN SEGAR,AYAM
1553,WHOLE LEG AYAM,1kg,BARANGAN SEGAR,AYAM
1804,KEPAK AYAM ,1kg,BARANGAN SEGAR,AYAM
1820,TELUR MASIN,1 biji,BARANGAN SEGAR,TELUR
1821,TELUR MASIN,4 Biji,BARANGAN SEGAR,TELUR
1930,TELUR AYAM KAMPUNG,10 biji,BARANGAN SEGAR,TELUR
